Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Hits,Shots_blocked,Penalties_against,R
https://en.khl.ru/players/14503/,2019/2020,2,0,5,10,2,31,63.0,35.0,0.0,1.317027281279398
https://en.khl.ru/players/14527/,2014/2015,8,6,20,3,6,74,42.0,23.0,14.0,2.6252461168234524
https://en.khl.ru/players/14527/,2015/2016,2,4,9,2,10,41,25.0,11.0,5.0,2.3369036027263874
https://en.khl.ru/players/14527/,2016/2017,4,7,18,8,32,52,55.0,30.0,16.0,1.7689796777929871
https://en.khl.ru/players/14527/,2017/2018,0,1,6,6,18,33,39.0,19.0,15.0,0.8055235903337169
https://en.khl.ru/players/14527/,2018/2019,6,10,28,23,48,46,53.0,33.0,21.0,1.5752200675094314
https://en.khl.ru/players/14527/,2019/2020,4,9,31,17,34,52,80.0,24.0,13.0,1.6751561134673174
https://en.khl.ru/players/14527/,2020/2021,4,15,26,14,36,46,38.0,31.0,23.0,2.142336652902599
https://en.khl.ru/players/14527/,2021/2022,4,7,18,15,4,37,20.0,11.0,10.0,1.7548135510601999
https://en.khl.ru/players/14561/,2014/2015,3,9,13,15,22,50,39.0,28.0,12.0,1.3835634803592975
https://en.khl.ru/players/14561/,2015/2016,3,6,13,11,22,42,67.0,28.0,11.0,1.432864656005152
https://en.khl.ru/players/14561/,2016/2017,2,0,3,14,8,24,77.0,35.0,8.0,0.46775209139156243
https://en.khl.ru/players/14561/,2017/2018,0,4,8,16,57,20,43.0,20.0,3.0,-0.2405532725268117
https://en.khl.ru/players/14590/,2014/2015,19,27,37,21,10,113,35.0,7.0,22.0,3.6254800090354644
https://en.khl.ru/players/14590/,2015/2016,23,23,40,41,4,136,32.0,11.0,25.0,2.6054749031461535
https://en.khl.ru/players/14590/,2016/2017,30,36,59,26,39,136,22.0,9.0,20.0,5.009655172413793
https://en.khl.ru/players/14597/,2014/2015,16,21,29,32,20,103,65.0,15.0,17.0,2.3155965073086016
https://en.khl.ru/players/14597/,2015/2016,21,15,29,10,28,100,28.0,8.0,7.0,3.2020267043212822
https://en.khl.ru/players/14597/,2016/2017,4,12,20,17,16,61,31.0,17.0,9.0,1.6202127409772935
https://en.khl.ru/players/14597/,2017/2018,8,14,37,18,16,72,54.0,25.0,10.0,2.2502557108762358
https://en.khl.ru/players/14597/,2018/2019,13,13,32,17,10,102,51.0,37.0,11.0,2.4855190717859514
https://en.khl.ru/players/14597/,2019/2020,2,12,23,24,8,52,57.0,27.0,10.0,1.5089904806675285
https://en.khl.ru/players/14597/,2020/2021,9,11,21,17,6,69,17.0,14.0,6.0,2.0353481969469778
https://en.khl.ru/players/14597/,2021/2022,3,3,10,15,10,37,28.0,18.0,5.0,0.8921791951404707
https://en.khl.ru/players/14612/,2015/2016,3,8,22,21,65,59,80.0,49.0,4.0,1.0644051662592215
https://en.khl.ru/players/14612/,2016/2017,1,8,23,21,114,68,93.0,42.0,3.0,0.724840901736598
https://en.khl.ru/players/14612/,2017/2018,2,3,13,17,38,35,54.0,23.0,2.0,0.7105396717983421
https://en.khl.ru/players/14612/,2018/2019,0,6,18,30,42,64,71.0,34.0,10.0,0.6264236902050113
https://en.khl.ru/players/14612/,2019/2020,5,7,28,25,44,67,48.0,42.0,6.0,1.3225752786557978
https://en.khl.ru/players/14612/,2020/2021,0,1,14,15,14,19,22.0,33.0,4.0,0.9580583351075155
https://en.khl.ru/players/14613/,2014/2015,4,9,18,17,13,39,43.0,13.0,5.0,1.7653096134108794
https://en.khl.ru/players/14613/,2015/2016,3,8,23,20,14,62,39.0,12.0,8.0,1.2905855182719739
https://en.khl.ru/players/14613/,2016/2017,5,5,17,16,35,44,23.0,10.0,3.0,0.9857708669502714
https://en.khl.ru/players/14613/,2017/2018,3,13,29,15,22,44,48.0,12.0,6.0,2.142454425859801
https://en.khl.ru/players/14613/,2018/2019,3,5,13,8,10,39,44.0,19.0,7.0,1.0319917440660475
https://en.khl.ru/players/14613/,2019/2020,0,3,15,9,43,25,27.0,14.0,2.0,0.3178471155374265
https://en.khl.ru/players/14613/,2020/2021,1,0,9,3,10,17,30.0,14.0,4.0,1.3094372065339592
https://en.khl.ru/players/14613/,2021/2022,2,2,14,14,11,39,24.0,21.0,2.0,0.7612603087333474
https://en.khl.ru/players/14622/,2014/2015,5,10,18,10,16,95,76.0,14.0,11.0,2.1860543157793813
https://en.khl.ru/players/14622/,2016/2017,20,17,32,10,22,130,38.0,30.0,15.0,3.3580028719761406
https://en.khl.ru/players/14622/,2017/2018,9,19,29,15,26,71,22.0,7.0,9.0,2.7963013460918718
https://en.khl.ru/players/14622/,2018/2019,8,15,28,35,10,88,42.0,7.0,9.0,1.554812784016224
https://en.khl.ru/players/14622/,2019/2020,13,18,35,16,26,122,31.0,15.0,9.0,2.743509826244378
https://en.khl.ru/players/14622/,2020/2021,15,12,30,13,16,92,15.0,12.0,11.0,2.9143401879340867
https://en.khl.ru/players/14622/,2021/2022,11,8,32,29,4,95,10.0,6.0,11.0,2.092843598567315
https://en.khl.ru/players/14633/,2015/2016,10,9,26,21,18,80,38.0,27.0,9.0,1.8366597281743602
https://en.khl.ru/players/14633/,2016/2017,12,9,23,29,32,84,49.0,13.0,5.0,1.671932596103212
https://en.khl.ru/players/14633/,2017/2018,13,6,21,20,37,67,21.0,20.0,5.0,1.7668019400178163
