Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Hits,Shots_blocked,Penalties_against,R,T1_Profile,T1_Year,T1_Goals,T1_Assists,T1_Plus,T1_Minus,T1_Penalties,T1_Shots,T1_Hits,T1_Shots_blocked,T1_Penalties_against,T1_R,predict
https://en.khl.ru/players/13946/,2018/2019,5,8,15,16,20,98,75.0,15.0,7.0,1.5630614444843691,https://en.khl.ru/players/13946/,2019/2020,3.0,2.0,9.0,8.0,15.0,29.0,50.0,15.0,5.0,1.3048830529339353,1.4623193296841916
https://en.khl.ru/players/13950/,2014/2015,4,5,13,8,6,59,24.0,8.0,7.0,2.2646420824295013,https://en.khl.ru/players/13950/,2015/2016,4.0,2.0,9.0,15.0,10.0,45.0,27.0,4.0,3.0,1.172093023255814,1.5342256782781578
https://en.khl.ru/players/13950/,2015/2016,4,2,9,15,10,45,27.0,4.0,3.0,1.172093023255814,https://en.khl.ru/players/13950/,2016/2017,6.0,2.0,16.0,15.0,8.0,51.0,11.0,7.0,4.0,1.960967410589224,1.6241867873209834
https://en.khl.ru/players/13963/,2014/2015,5,7,20,12,21,64,93.0,27.0,19.0,2.175825933925286,https://en.khl.ru/players/13963/,2015/2016,4.0,10.0,16.0,12.0,14.0,40.0,55.0,23.0,14.0,2.004398541243284,1.7585451324164456
https://en.khl.ru/players/13963/,2015/2016,4,10,16,12,14,40,55.0,23.0,14.0,2.004398541243284,https://en.khl.ru/players/13963/,2016/2017,6.0,3.0,18.0,13.0,23.0,47.0,39.0,22.0,15.0,1.706161137440758,1.6659527256289737
https://en.khl.ru/players/13963/,2016/2017,6,3,18,13,23,47,39.0,22.0,15.0,1.706161137440758,https://en.khl.ru/players/13963/,2017/2018,4.0,11.0,24.0,16.0,20.0,48.0,50.0,37.0,10.0,1.896670947347624,1.4397364542551452
https://en.khl.ru/players/13963/,2017/2018,4,11,24,16,20,48,50.0,37.0,10.0,1.896670947347624,https://en.khl.ru/players/13963/,2018/2019,1.0,7.0,16.0,25.0,28.0,52.0,85.0,44.0,11.0,0.9378140002232892,1.155963278733566
https://en.khl.ru/players/13963/,2018/2019,1,7,16,25,28,52,85.0,44.0,11.0,0.9378140002232892,https://en.khl.ru/players/13963/,2019/2020,8.0,4.0,18.0,17.0,35.0,52.0,57.0,21.0,5.0,1.5028996161071633,1.2455227664373392
https://en.khl.ru/players/13963/,2019/2020,8,4,18,17,35,52,57.0,21.0,5.0,1.5028996161071633,https://en.khl.ru/players/13963/,2020/2021,9.0,8.0,30.0,17.0,40.0,46.0,63.0,45.0,9.0,2.050553693881627,1.39184395369619
https://en.khl.ru/players/13963/,2020/2021,9,8,30,17,40,46,63.0,45.0,9.0,2.050553693881627,https://en.khl.ru/players/13963/,2021/2022,2.0,4.0,13.0,10.0,20.0,35.0,43.0,38.0,5.0,1.3594432756109402,1.258648904898524
https://en.khl.ru/players/13964/,2014/2015,12,18,30,29,30,90,55.0,13.0,15.0,2.388544734436884,https://en.khl.ru/players/13964/,2015/2016,2.0,9.0,10.0,13.0,2.0,35.0,17.0,6.0,6.0,1.5641772734243211,1.7089014127550775
